Id,SalePrice
1461,125200.66196680305
1462,152132.2260892962
1463,179214.96679943267
1464,190309.30508370462
1465,189089.15880172123
1466,183628.74948962
1467,168524.86607244264
1468,176233.82995886565
1469,183077.32315899394
1470,125026.20821015275
1471,198863.1727791964
1472,95191.91052794152
1473,98217.71808289466
1474,152477.72479305763
1475,116777.75273782098
1476,348668.3814736462
1477,255365.25242369686
1478,298409.89134151035
1479,287288.37187537964
1480,421804.67190123425
1481,312307.22492857376
1482,205746.7537090858
1483,182111.42459723089
1484,172323.7730370535
1485,180106.63290433286
1486,202262.4160156145
1487,299294.17011290375
1488,233331.9094385231
1489,212989.10003754235
1490,220488.71875830952
1491,189468.22463564223
1492,99183.03286885328
1493,180389.2310738411
1494,299957.29669540474
1495,287244.9371029537
1496,227802.72999686765
1497,180014.4527122343
1498,158945.88044466855
1499,155771.30056476907
1500,163760.77720332125
1501,171726.7700558867
1502,164056.71593510255
1503,263803.75324914267
1504,228696.563576691
1505,214067.51576195104
1506,168571.27049402005
1507,244521.61061443907
1508,180623.59200488508
1509,159606.8709305651
1510,150476.35088964968
1511,151233.65089971092
1512,170629.37573459945
1513,136199.2730838635
1514,150169.11586996433
1515,174346.42811942866
1516,148714.08904811193
1517,154504.36436955314
1518,129399.04557885503
1519,219950.78200486695
1520,139483.04875702006
1521,141601.4416233985
1522,161191.79566452058
1523,113677.91573160219
1524,120558.00608761281
1525,126901.30438459186
1526,129788.26427477672
1527,112101.28835379859
1528,128115.36827105914
1529,144287.5555879721
1530,169525.0299569212
1531,129440.62805761125
1532,105016.54671032974
1533,141582.72220986674
1534,119846.9734961143
1535,146465.75474564504
1536,120679.29355567324
1537,90441.03372920825
1538,140037.3622871084
1539,178324.71314006587
1540,121096.683355679
1541,134257.04531076862
1542,134036.96712295196
1543,180520.55679737093
1544,85330.88581402574
1545,107172.37261633217
1546,122365.41271430193
1547,133405.7190568023
1548,124789.89562109021
1549,113918.81873368895
1550,137588.06087502808
1551,119768.78412027642
1552,138955.2604866119
1553,140026.85805216836
1554,110609.5983553221
1555,167906.52537851722
1556,104455.10003603747
1557,113520.48945931421
1558,99998.01033498482
1559,110213.79813807
1560,136007.7387902957
1561,134346.9617721797
1562,127922.03989833902
1563,126139.41568502135
1564,160480.51543217455
1565,157981.613922781
1566,219465.14538714263
1567,88182.91439620299
1568,210163.45699637226
1569,147607.67946152863
1570,141171.92725855843
1571,128683.07102482869
1572,140290.8946793489
1573,242739.30821917974
1574,116500.01889807858
1575,220768.18179804663
1576,238327.16134845914
1577,198331.75147056847
1578,140747.95105829104
1579,147544.41013252278
1580,188879.32834441285
1581,141550.4375183904
1582,126559.59898978038
1583,320944.8305339149
1584,236297.97698950508
1585,139634.64090719188
1586,90211.04153773468
1587,109836.06187086318
1588,148261.79228066085
1589,99274.97130575779
1590,125701.00283160179
1591,107921.85681314897
1592,126861.78031982655
1593,115273.18772026795
1594,126513.52738196665
1595,122895.20696061935
1596,210313.21366130732
1597,162919.30916928232
1598,182176.37111959132
1599,173553.12129243158
1600,175981.77852830125
1601,86522.78555293923
1602,112140.7779231919
1603,91933.71368269302
1604,269354.0573574926
1605,248620.33398327333
1606,164022.77297616415
1607,150898.03544140855
1608,217281.36611830984
1609,195210.99870693713
1610,169079.03359257895
1611,148119.0692220877
1612,189522.6416848383
1613,171526.08237654602
1614,120400.04331183375
1615,88827.53146324916
1616,85189.2542006278
1617,88645.13848891386
1618,123437.50928252435
1619,135547.0165135704
1620,164769.46634216627
1621,146925.85602254854
1622,141379.1758511063
1623,265456.16401404404
1624,220485.0884147703
1625,122779.37527271062
1626,173412.6766694926
1627,187586.53671038314
1628,268828.0944966513
1629,177443.2062084545
1630,307721.02765747183
1631,197250.6293224405
1632,240469.31138607647
1633,177713.70181210636
1634,190019.5249715383
1635,182312.32888653412
1636,165649.1124367139
1637,178411.49940508243
1638,196539.69856107057
1639,184505.12977998581
1640,223893.11072772372
1641,179781.08127825338
1642,226895.0127551956
1643,220682.24714367787
